Status,Q8,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19,Q20,Q21,Q22,Q23,Finished,Q11
Response Type,Do you plan to participate in the Challenge in good faith and consistent with norms of scientific behavior?,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - General interest in topic,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Curiosity about the challenge,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Relevant to own research,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Relevant to job,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Relevant to school or degree program,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Required for coursework,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - To improve the lives of disadvantaged children,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - For fun,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - To experience a mass scientific collaboration,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Contributing to data science,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Contributing to social science,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Learning about cutting-edge research,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Learning/practicing data analysis skills,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - To earn scholarly recognition,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - To work on a prestigious research project,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - To make the best-performing model in the challenge,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - To create the most interesting/innovative model in the challenge,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Connecting with others who share my interests,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Collaborating with strangers,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Collaborating with colleagues/friends,There are many different reasons for wanting to participate in the Fragile Families Challenge. Which of the following best describe your reasons for participating? (Check all that apply.) - Collaborating with university researchers,Which of the following best describes your academic background? - Sociologist,Which of the following best describes your academic background? - Economist,Which of the following best describes your academic background? - Psychologist,Which of the following best describes your academic background? - Political scientist,Which of the following best describes your academic background? - Demographer,Which of the following best describes your academic background? - Data scientist,Which of the following best describes your academic background? - Computer scientist,Which of the following best describes your academic background? - No academic background,Which of the following best describes your academic background? - Other (please specify),Please describe your academic background:,Which of the following best describes your professional background? - Industry,Which of the following best describes your professional background? - Academia,Which of the following best describes your professional background? - Government,Which of the following best describes your professional background? - Nonprofit,Which of the following best describes your professional background? - Undergraduate student,Which of the following best describes your professional background? - Graduate student,Which of the following best describes your professional background? - Not employed,Which of the following best describes your professional background? - Other (please specify),Please describe your professional background:,"Do you plan to participate in the Fragile Families Challenge individually, or as part of a group?",Are you participating in the Fragile Families Challenge as part of a class assignment?,Have you ever analyzed data from the Fragile Families and Child Wellbeing Study?,Have you ever published a paper using data from the Fragile Families and Child Wellbeing Study?,Finished,What is motivating you to participate?
"{""ImportId"":""status""}","{""ImportId"":""QID8""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID15_12""}","{""ImportId"":""QID15_13""}","{""ImportId"":""QID15_14""}","{""ImportId"":""QID15_15""}","{""ImportId"":""QID15_16""}","{""ImportId"":""QID15_17""}","{""ImportId"":""QID15_18""}","{""ImportId"":""QID15_19""}","{""ImportId"":""QID15_20""}","{""ImportId"":""QID15_21""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""finished""}","{""ImportId"":""QID13_TEXT""}"
Survey Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
Survey Preview,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
Survey Preview,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
IP Address,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
IP Address,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
IP Address,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
IP Address,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
IP Address,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
