user,filename,extension,code
ovarol,/Users/AK/Code/ffc/bigpaper/submissions/ovarol - 22 submission/result_analysis.py,py,"['os', ',', 'sys', ',', 'glob', ',', 'copy', 'gzip', 'json', 'pickle', 'pandas', 'pd', 'matplotlib.pylab', 'plt', 'data_access', '*', 'exp', 'load', 'exp', 'np', 'mean', 'split', 'split', '-', 'append', 'np', 'mean', 'rename', 'replace', 'split', 'rename', 'replace', 'add', 'e', 'e', 'split', 'replace', 'rename', 'replace', 'append', 'split', '<', '==', '+', 'split', 'plot', 'keys', '+', 'loc', 'get', 'get', 'read_csv', 'iterrows']"
amorgan,/Users/AK/Code/ffc/bigpaper/submissions/amorgan - 3 submission/code.R,r,"['!', 'names', '%in%', 'colMeans', 'apply', 'is.na', '==', 'doMC', '::', 'registerDoMC', '::', '!', 'is.na', '!', 'is.na', 'as.matrix', 'as.matrix', 'print', 'write.csv', 'row.names']"
jzrf,/Users/AK/Code/ffc/bigpaper/submissions/jzrf - 1 submission/FF Pre-Imputation.py,py,"['pandas', 'pd', 'numpy', 'np', 'matplotlib.pyplot', 'plt', 'sklearn_pandas', 'IPython.core.interactiveshell', 'read_csv', 'to_datetime', '-', 'to_datetime', '/', 'np', 'timedelta64', 'astype', 'shape', '_get_numeric_data', '<', 'np', 'nan', 'dropna', 'shape', '/', 'shape', 'isnull', 'sum', '>', '==', 'head', 'keys', 'head', '&', 'columns', 'values', 'np', 'any', 'columns', '==', 'to_csv', 'to_csv']"
jzrf,/Users/AK/Code/ffc/bigpaper/submissions/jzrf - 1 submission/Fragile Families.py,py,"['pandas', 'pd', 'numpy', 'np', 'matplotlib.pyplot', 'plt', 'sklearn_pandas', 'IPython.core.interactiveshell', 'read_csv', 'shape', 'sort_index', 'head', '+', 'np', 'full', '-', 'np', 'full', '-', 'np', 'full', '-', 'np', 'full', '-', 'np', 'full', '-', 'np', 'full', '-', 'sklearn.preprocessing', 'select_dtypes', 'columns', 'le', 'le', 'le', 'transform', 'le', 'head', 'sklearn.preprocessing', 'columns', 'DataFrame', 'columns', 'head', 'sklearn.model_selection', 'read_csv', 'shape', 'dropna', 'shape', 'values', 'tolist', 'loc', 'shape', 'shape', 'head', 'shape', 'head', 'shape', 'head', 'shape', 'head', 'sklearn.feature_selection', 'columns', 'indices', 'columns', 'DataFrame', 'indices', 'columns', 'head', 'columns', 'indices', 'columns', 'transform', 'DataFrame', 'indices', 'columns', 'head', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.linear_model', 'sklearn.tree', 'sklearn.ensemble', 'sklearn.naive_bayes', 'sklearn.tree', 'sklearn.ensemble', 'sklearn.linear_model', 'sklearn.svm', 'columns', 'indices', 'columns', 'as_matrix', 'transform', 'DataFrame', 'indices', 'columns', 'head', 'np', 'column_stack', 'np', 'core', 'fromarrays', 'transpose', 'np', 'sort', 'np', 'savetxt', 'as_matrix', 'transform', 'DataFrame', 'indices', 'columns', 'head', 'np', 'column_stack', 'np', 'core', 'fromarrays', 'transpose', 'np', 'sort', 'as_matrix', 'transform', 'DataFrame', 'indices', 'columns', 'head', 'np', 'column_stack', 'np', 'core', 'fromarrays', 'transpose', 'np', 'sort', 'as_matrix', 'transform', 'DataFrame', 'indices', 'columns', 'head', 'np', 'column_stack', 'np', 'core', 'fromarrays', 'transpose', 'np', 'sort', 'sklearn.model_selection', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.svm', 'sklearn.neighbors', 'sklearn.metrics', '!=', 'transform', 'transform', '<', 'transform', 'transform', '==', '==', '==', '==', '==', '==', 'np', 'column_stack', 'np', 'arange', 'dtype', 'DataFrame', 'columns', 'head', 'tail', 'to_csv']"
jzrf,/Users/AK/Code/ffc/bigpaper/submissions/jzrf - 1 submission/FF with PCA.py,py,"['pandas', 'pd', 'numpy', 'np', 'matplotlib.pyplot', 'plt', 'sklearn_pandas', 'IPython.core.interactiveshell', 'read_csv', 'shape', 'sort_index', 'head', 'sklearn.preprocessing', 'select_dtypes', 'columns', 'le', 'le', 'le', 'transform', 'le', 'head', 'sklearn.preprocessing', 'columns', 'DataFrame', 'columns', 'head', 'sklearn.model_selection', 'read_csv', 'shape', 'dropna', 'shape', 'values', 'tolist', 'loc', 'shape', 'shape', 'head', 'shape', 'head', 'shape', 'head', 'shape', 'head', 'sklearn.feature_selection', 'columns', 'indices', 'columns', 'DataFrame', 'indices', 'columns', 'head', 'columns', 'indices', 'columns', 'transform', 'DataFrame', 'indices', 'columns', 'head', 'sklearn.feature_selection', 'sklearn.feature_selection', 'sklearn.linear_model', 'columns', 'indices', 'columns', 'as_matrix', 'transform', 'DataFrame', 'indices', 'columns', 'head', 'transform', 'transform', 'sklearn.decomposition', 'sklearn.decomposition', 'sklearn.model_selection', 'np', 'array', 'shape', 'np', 'array', '>', 'shape', 'np', 'array', 'columns', 'values', '>', '==', 'shape', 'transform', 'transform', 'shape', 'sklearn.model_selection', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.kernel_ridge', 'sklearn.tree', 'sklearn.ensemble', 'sklearn.svm', 'sklearn.metrics', '<']"
jzrf,/Users/AK/Code/ffc/bigpaper/submissions/jzrf - 1 submission/Post-Imputation.py,py,"['pandas', 'pd', 'numpy', 'np', 'matplotlib.pyplot', 'plt', 'sklearn_pandas', 'IPython.core.interactiveshell', 'read_csv', 'shape', 'sort_index', 'head', 'sklearn.preprocessing', 'columns', 'DataFrame', 'columns', 'head', 'sklearn.model_selection', 'read_csv', 'shape', 'dropna', 'shape', 'values', 'tolist', 'loc', 'shape', 'shape', 'head', 'shape', 'head', 'shape', 'head', 'shape', 'head', 'sklearn.model_selection', 'sklearn.tree', 'sklearn.ensemble', 'sklearn.linear_model', 'sklearn.linear_model', 'sklearn.kernel_ridge', 'sklearn.svm', 'sklearn.metrics']"
samantha_malte,/Users/AK/Code/ffc/bigpaper/submissions/samantha_malte - 50 submission/predictor.py,py,"['pandas', 'pd', 'os', 'sklearn.model_selection', 'DataFrame', '+', 'DataFrame', 'concat', '+', 'DataFrame', 'concat', 'columns', '+', '+', '+', '+', '+', 'to_csv', '+', '+', '+', '+', '+']"
samantha_malte,/Users/AK/Code/ffc/bigpaper/submissions/samantha_malte - 50 submission/predictions.py,py,"['sys', ',', 'time', 'predictor', 'data', 'sklearn.ensemble', 'sklearn.linear_model', 'sklearn.model_selection', 'sklearn.svm', 'sklearn.metrics', 'sklearn.gaussian_process', '==', '+', '+']"
samantha_malte,/Users/AK/Code/ffc/bigpaper/submissions/samantha_malte - 50 submission/feature_selection.py,py,"['argparse', 'sys', 'time', 'multiprocessing', 'pandas', 'pd', 'sklearn.feature_selection', 'sklearn.linear_model', 'sklearn.svm', 'sklearn.model_selection', 'dill', 'data', 'append', 'append', 'join', '+', '+', '+', '+', 'dump', '+', '+', '+', '+', '+', '+', 'dump', '+', '+', '+', '+', '+', '+', 'dump', '+', '+', '+', '+', '+', '+', 'dump', '+', '+', 'shuffle', '+', '+', '+', '+', 'dump', '+', '+', 'shuffle', '+', '+', '+', '+', 'dump', '+', '+', '==', 'parser', 'parser', 'parser', 'parser', 'parser', '+', '+']"
samantha_malte,/Users/AK/Code/ffc/bigpaper/submissions/samantha_malte - 50 submission/inspect_most_important.py,py,"['numpy', 'np', 'data', 'sklearn.ensemble', 'np', 'argpartition', '-', '-', 'np', 'argsort', '-', 'columns']"
