extension,symbol,n,class1,class2,unsure,notes
py,plt,73,viz,,,
py,matplotlib.pyplot,71,viz,,,
r,jitter,63,viz,,,
py,plot,62,viz,,,
r,plot,60,viz,,,
r,theme_bw,55,viz,,,
r,qplot,49,viz,,,
r,theme,49,viz,,,
r,aes,36,viz,,,
r,stargazer,29,viz,,,
r,ggplot,26,viz,,,
r,ylab,23,viz,,,
r,ggsave,17,viz,,,
r,labels,17,viz,,,
r,xlab,17,viz,,,
py,hist,13,viz,,,
r,ggplot2,13,viz,,,
r,labs,10,viz,,,
r,grid.arrange,9,viz,,,
py,seaborn,6,viz,,,
r,element_text,6,viz,,,
r,geom_line,6,viz,,,
r,geom_point,6,viz,,,
r,geom_ribbon,5,viz,,,
do,graph,4,viz,,,
py,matplotlib,4,viz,,,
r,geom_bar,4,viz,,,
r,vim,4,viz,,,also imputation?
r,coord_flip,3,viz,,,
r,embed_fonts,3,viz,,,
r,geom_hline,3,viz,,,
r,geom_pointrange,3,viz,,,
r,ggtitle,3,viz,,,
r,label,3,viz,,,
r,theme_minimal,3,viz,,,
py,matplotlib.pylab,2,viz,,,
r,fonts,2,viz,,,
r,geom_boxplot,2,viz,,,
r,geom_density,2,viz,,,
r,geom_jitter,2,viz,,,
r,geom_tile,2,viz,,,
r,ggcorr,2,viz,,,
r,pretty,2,viz,,,
r,scale_color_manual,2,viz,,,
r,scale_fill_discrete,2,viz,,,
r,scale_fill_manual,2,viz,,,
r,theme_few,2,viz,,,
do,dotplot,1,viz,,,
py,histogram,1,viz,,,
py,matplotlib.gridspec,1,viz,,,
py,reindex_axis,1,viz,,,
r,annotate,1,viz,,,
r,coord_fixed,1,viz,,,
r,corrgram,1,viz,,,
r,element_blank,1,viz,,,
r,extrafont,1,viz,,,
r,facet_wrap,1,viz,,,
r,geom_histogram,1,viz,,,
r,geom_vline,1,viz,,,
r,ggally,1,viz,,,
r,ggthemes,1,viz,,,
r,grid,1,viz,,,
r,guides,1,viz,,,
r,kable,1,viz,,y,
r,matrixplot,1,viz,,,
r,plotcp,1,viz,,,
r,scale_color_discrete,1,viz,,,
r,scale_fill_continuous,1,viz,,,
r,scale_fill_gradient2,1,viz,,,
r,scale_x_continuous,1,viz,,,
r,scale_x_discrete,1,viz,,,
r,in,12091,prep,test,,
r,factor,8204,prep,type,,
r,table,2858,prep,,,
py,np,1639,prep,,,
r,data,1636,prep,,,
r,is.na,1385,prep,test,,
r,which,632,prep,test,,
py,shape,620,prep,,y,
r,paste,522,prep,,,
r,file,497,prep,sys,,
r,names,457,prep,,,
r,write.csv,404,prep,sys,,
r,row.names,398,prep,,,
py,columns,396,prep,,y,
r,ifelse,380,prep,sys,,
r,mean,379,prep,oper,,
do,gen,367,prep,feat,,
do,if,359,prep,test,,
py,read_csv,358,prep,sys,,
py,append,337,prep,feat,y,
r,colnames,331,prep,,,
do,replace,322,prep,feat,,
py,values,315,prep,,y,predictions?
r,col,273,prep,,y,
py,parser,264,prep,,y,look at some examples here
r,length,264,prep,,,
py,loc,236,prep,test,,
r,read.csv,236,prep,sys,,
py,dataframe,233,prep,,,
py,average,219,prep,oper,,
r,dim,216,prep,,,
r,drop,215,prep,del,,deleting data
r,min,203,prep,oper,,
py,astype,199,prep,type,,
py,mean,198,prep,oper,,
