last,name,affiliation,tex,account,data_preparation,feature_selection,learning_algorithm,model_selection,other
Adem,Muna Adem,"Department of Sociology, Indiana University, Bloomington, IN","\item Muna Adem, Department of Sociology, Indiana University, Bloomington, IN",IU_Sociology,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO), Excluded 'constructed scales' with more than 30% missing values You're","Random forest, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",
Alhajri,Abdulla Alhajri,"Nuclear Science and Engineering, Massachusetts Institute of Technology, Cambridge, MA","\item Abdulla Alhajri, Nuclear Science and Engineering, Massachusetts Institute of Technology, Cambridge, MA",alhajri,"Mean/median/mode imputation, Model-based imputation, Imputation based on survey structure (e.g. skips), Dropping low-variance features","Conducting a literature review, Using constructed variables","Random forest, Gradient-boosted trees, Elastic net","MSE performance in training set, MSE performance on leaderboard",
AlShebli,Bedoor AlShebli,"New York University, Abu Dhabi","\item Bedoor AlShebli, New York University, Abu Dhabi",Anahit_Sargsyan,"Model-based imputation, Adding missingness indicators, Dropping low-variance features, KNN imputation algorithm","Model-based feature selection (e.g. F-test or LASSO), Extra Trees Regression Algorithm, Randomized Lasso","Linear regression/OLS, Logistic regression/logit, Decision tree, Random forest","MSE performance in training set, MSE performance on leaderboard, Assessing groups/clusters of features",
Amin,Redwane Amin,"Bendheim Center for Finance, Princeton University, Princeton, NJ 08544, USA","\item Redwane Amin, Bendheim Center for Finance, Princeton University, Princeton, NJ 08544, USA",spike_slab_team,"Mean/median/mode imputation, Model-based imputation, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split","Using prior expertise, Reading study documentation, Conducting a literature review, Random Forest using Gini score","Linear regression/OLS, Logistic regression/logit, Random forest, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines), Spike and slab using Gnet","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",
Amos,Ryan B Amos,"Department of Computer Science, Princeton University, Princeton, NJ, 08540, USA","\item Ryan B Amos, Department of Computer Science, Princeton University, Princeton, NJ, 08540, USA",rbamos,"Mean/median/mode imputation, Dropping low-variance features, Constructing your own train/test split, Feature selection with with k-means clustering",Model-based feature selection (e.g. F-test or LASSO),"Linear regression/OLS, Logistic regression/logit, Ridge regression, LASSO, Elastic net, Support Vector Machine",MSE performance in training set,
Baer-Bositis,Livia Baer-Bositis,"Department of Sociology, Stanford University, Stanford, CA 94305, USA","\item Livia Baer-Bositis, Department of Sociology, Stanford University, Stanford, CA 94305, USA",lbb285,Variable standardization/rescaling,"Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit",Inspecting regression coefficients,none
Becker,Joshua Becker,"Kellogg School of Management, Northwestern University, Evanston, IL 60208, USA","\item Joshua Becker, Kellogg School of Management, Northwestern University, Evanston, IL 60208, USA",joshua_becker_upenn,Model-based imputation,"Using prior expertise, Conducting a literature review","Linear regression/OLS, Logistic regression/logit",skip b/c i don't remember for sure,
BÙchi,Moritz BÙchi,"Department of Communication and Media Research, University of Zurich, ZÙrich, Switzerland","\item Moritz BÙchi, Department of Communication and Media Research, University of Zurich, ZÙrich, Switzerland",mdb,Model-based imputation,"Using prior expertise, Using constructed variables",Linear regression/OLS,"MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",I selected only cases that were complete on all the constructed variables
Chung,Bo-Ryehn Chung,"Center for Statistics & Machine Learning, Princeton University, Princeton, NJ 08544, USA ","\item Bo-Ryehn Chung, Center for Statistics & Machine Learning, Princeton University, Princeton, NJ 08544, USA ",fw,"Mean/median/mode imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Reading study documentation, Conducting a literature review, Model-based feature selection (e.g. F-test or LASSO)","Logistic regression/logit, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
DEMIRAG BURAK,Elif Gizem DEMIRAG BURAK,"Department of Psychology, Koç University, Istanbul, Turkey","\item Elif Gizem DEMIRAG BURAK, Department of Psychology, Koç University, Istanbul, Turkey",gturunc16,"Model-based imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit",Inspecting regression coefficients,
Dora,Begum Dora,"Department of Psychology, Koc University, Istanbul, Turkey","\item Begum Dora, Department of Psychology, Koc University, Istanbul, Turkey",gturunc16,"Model-based imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit",Inspecting regression coefficients,
Eggert,William Eggert,"Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, NJ, 08544","\item William Eggert, Department of Mechanical and Aerospace Engineering, Princeton University, Princeton, NJ, 08544",weggert,"Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, Creating synthetic features with PCA, Constructing your own train/test split","Reading study documentation, Model-based feature selection (e.g. F-test or LASSO)","Decision tree, Random forest, Gradient-boosted trees, Ridge regression, Data-based hyperparameter selection (e.g. cross validation), Manual hyperparameter setting, Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, Inspecting regression coefficients, Assessing groups/clusters of features, Interpreting hyperparameters","Exploring a Gaussian Mixture Model Process looked like it would have produced quite accurate results (better than what I achieved), but there was not enough time to delve into it fully."
Faletto,Gregory Faletto,"Department of Data Sciences and Operations, Marshall School of Business, University of Southern California","\item Gregory Faletto, Department of Data Sciences and Operations, Marshall School of Business, University of Southern California",greg.faletto,"Model-based imputation, Variable standardization/rescaling, One-hot encoding, Creating synthetic features with PCA, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Reading study documentation, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Random forest, LASSO, Data-based hyperparameter selection (e.g. cross validation)",MSE performance in training set,
Fan,Zhilin Fan,"a4 Media & Data Solutions, Long Island City, NY, 11120, USA","\item Zhilin Fan, a4 Media & Data Solutions, Long Island City, NY, 11120, USA",ADSgrp5,"Mean/median/mode imputation, One-hot encoding, Adding missingness indicators, Constructing your own train/test split","Using prior expertise, Using constructed variables, Mutual information","Gradient-boosted trees, Data-based hyperparameter selection (e.g. cross validation)","MSE performance on leaderboard, MSE performance in split test set",K-Means and bagging
Freese,Jeremy Freese,"Department of Sociology, Stanford University","\item Jeremy Freese, Department of Sociology, Stanford University",jeremyfreese,"Functional form transformation (e.g. logging or top-coding), Adding missingness indicators, Using multiple analytic datasets to generate predictions","Using prior expertise, Reading study documentation","Linear regression/OLS, Logistic regression/logit","MSE performance in training set, Inspecting regression coefficients",
Gadgil,Tejomay Gadgil,"Center for Data Science, NYU, New York, NY, 10011, USA","\item Tejomay Gadgil, Center for Data Science, NYU, New York, NY, 10011, USA",mdrc,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, One-hot encoding, Dropping low-variance features","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables","Linear regression/OLS, Decision tree, Random forest","MSE performance in training set, Inspecting regression coefficients, Measures of variable importance (e.g. marginal effects)",
Gagn_,Josh Gagn_,"Department of Sociology, Stanford University, Stanford, CA 94305, USA","\item Josh Gagn_, Department of Sociology, Stanford University, Stanford, CA 94305, USA",jgagne,"Mean/median/mode imputation, Adding missingness indicators","Using prior expertise, Reading study documentation","Linear regression/OLS, Logistic regression/logit","MSE performance on leaderboard, Inspecting regression coefficients",I shrunk the predictions toward the training set mean
Gao,Yue Gao,Columbia University,"\item Yue Gao, Columbia University",aurora1994,"Mean/median/mode imputation, Variable standardization/rescaling, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split","Model-based feature selection (e.g. F-test or LASSO), random forest based feature selection","Random forest, Gradient-boosted trees, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Assessing groups/clusters of features, Measures of variable importance (e.g. marginal effects)",
Gupta,Meera Gupta,"Department of Chemical and Biological Engineering, Princeton University, Princeton, NJ, 08544,USA","\item Meera Gupta, Department of Chemical and Biological Engineering, Princeton University, Princeton, NJ, 08544,USA",amagann,"Mean/median/mode imputation, Variable standardization/rescaling, Dropping low-variance features","Model-based feature selection (e.g. F-test or LASSO), : in certain studies, feature selection was performed by modeling only the city-related features, to test if these features alone could be predictive of GPA","Linear regression/OLS, Decision tree, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines), bagging regression, support vector regression, gaussian processes. ",MSE performance in training set,
